target,target_name,text
2,sci.med,"From: rind@enterprise.bih.harvard.edu (David Rind)
Subject: Re: Persistent vs Chronic
Organization: Beth Israel Hospital, Harvard Medical School, Boston Mass., USA
Lines: 17
NNTP-Posting-Host: enterprise.bih.harvard.edu

In article <enea1-270493135255@enea.apple.com>
 enea1@applelink.apple.com (Horace Enea) writes:
>Can anyone out there tell me the difference between a ""persistent"" disease
>and a ""chronic"" one? For example, persistent hepatitis vs chronic
>hepatitis.

I don't think there is a general distinction.  Rather, there are
two classes of chronic hepatitis: chronic active hepatitis and chronic
persistent hepatitis.  I can't think of any other disease where the
term persistent is used with or in preference to chronic.

Much as these two terms ""chronic active"" and ""chronic persistent""
sound fuzzy, the actual distinction between the two conditions
is often fairly fuzzy as well.
-- 
David Rind
rind@enterprise.bih.harvard.edu
"
0,comp.graphics,"From: rws2v@uvacs.cs.Virginia.EDU (Richard Stoakley)
Subject: 3D modelers for UNIX
Keywords: 3D, three-D, modelers
Organization: University of Virginia Computer Science Department
Lines: 7

Could someone please post a list of good three-D modelers that will
run on SPARC stations; preferably cheap.  Thanks

Richard
rws2v@virginia.edu


"
3,soc.religion.christian,"From: norris@athena.mit.edu (Richard A Chonak)
Subject: Boston Church
Organization: unus orbis orans
Lines: 14

(Dear Moderator: Would you add this to the BCC faq?)

In case there are any ex-members of the ""Boston Church of Christ""
looking for a support organization, here's the number of ""BostonEX"" in
Burlington, MA: 617-272-1955.

--------

s.r.c readers in New England may be interested in seeing a series of
news reports about the BCC in the 6 pm nightly news on Channel 5
(WCVB, Boston), for the next few days (starting Wed, 5/19).

For viewers outside the Boston area, the same telecasts will also be
aired on the ""New England Cable News"" channel at 8 pm.  
"
3,soc.religion.christian,"From: PETCH@gvg47.gvg.tek.com (Chuck)
Subject: Daily Verse--King James. Compare this with previous version from NIV.
Lines: 4

But whoso hearkeneth unto me shall dwell safely, and shall be quiet
from fear of evil.

Proverbs 1:33
"
2,sci.med,"From: mcovingt@aisun3.ai.uga.edu (Michael Covington)
Subject: Re: Lithium questions, Doctor wants my 10 year old on it...
Nntp-Posting-Host: aisun3.ai.uga.edu
Organization: AI Programs, University of Georgia, Athens
Lines: 26

In article <93121.120223RFM@psuvm.psu.edu> <RFM@psuvm.psu.edu> writes:
>[Someone writes:]
>>I have a 10 year old son that lives with my ex-wife.  She has been having
>>difficulty with his behavior and has had him on Ritalin, Tofranil, and now
>>wants to try Lithuim at the local doctors suggestion.  I would like to
>>know whatever is important that I should know.  I worry about this sort of
>>thing and would like pros/cons regarding Lithium therapy.

>I get ""antsy"" about posts like this. Is the concern more for son or about ex-w
>ife??? The standard impartial procedure is to ask for a second opinion
>about son's condition.
>Then too, is son ""acting out"" games between divorced parents????

Precisely.  One wonders what unusual strain the boy might be under that
could be causing ""difficulty with his behavior"".  Standard practice would
be to get a second opinion from a child psychiatrist.  One would want to
rule out the possibility that the ""bad behavior"" is not psychiatric
illness at all.

(Disclaimer: I am not a medic. But I am a parent.)

-- 
:-  Michael A. Covington, Associate Research Scientist        :    *****
:-  Artificial Intelligence Programs      mcovingt@ai.uga.edu :  *********
:-  The University of Georgia              phone 706 542-0358 :   *  *  *
:-  Athens, Georgia 30602-7415 U.S.A.     amateur radio N4TMI :  ** *** **  <><
"
2,sci.med,"From: ""nigel allen"" <nigel.allen@canrem.com>
Subject: New Method For Diagnosing Alzheimer's Disease Discovered
Reply-To: ""nigel allen"" <nigel.allen@canrem.com>
Organization: Canada Remote Systems
Distribution: sci
Lines: 113


Here is a press release from Huntington Medical Research Institutes.

 New Method For Diagnosing Alzheimer's Disease Discovered at
Huntington Medical Research Institutes: Results to Be Reported
 To: National Desk, Health Writer
 Contact: John Lockhart or Belinda Gerber, 310-444-7000, or
          800-522-8877, for the Huntington Medical Research
          Institutes.

   LOS ANGELES, April 28  -- A new method for diagnosing 
and measuring chemical imbalances in the brain
which lead to Alzheimer's disease and other dementias has been
discovered by researchers at the Huntington Medical Research
Institutes (HMRI) in Pasadena, Calif.  Results of their research
will be reported in the May issue of the scientific journal,
Radiology.
   Using an advanced form of magnetic resonance imaging (MRI)
called magnetic resonance spectroscopy (MRS), a research team led
by Brian D. Ross, M.D., D. Phil., conducted a study on 21 elderly
patients who were believed to be suffering from some form of
dementia. The exams used standard MRI equipment fitted with special
software developed at HMRI called Clinical Proton MRS.  Clinical
Proton MRS is easily applied, giving doctors confirmatory diagnoses
in less than 30 minutes.  An automated version of Clinical Proton
MRS called Proton Brain Examination (PROBE) reduces the examination
time yet further, providing confirmatory diagnoses in less than 10
minutes.  By comparison, the current ""standard of care"" in testing
for Alzheimer's disease calls for lengthy memory function and
neuropsychological tests, which can be very upsetting to the
patient, are not definitive and can only be confirmed by autopsy.
   In addition to Alzheimer's disease, the new Clinical Proton MRS
exam may have applications in diagnosing other dementias, including
AIDS-related dementia, Parkinson's disease and Huntington's
disease.
   ""We've developed a simple test which can be administered quickly
and relatively inexpensively using existing MRI equipment fitted
with either the MRS or PROBE software,"" said Dr. Ross, adding,
""this will help physicians to diagnose Alzheimer's earlier and
intervene with therapeutics before the progression of the disease
causes further damage to the delicate inner workings of the brain.""
   Dr. Ross and his HMRI team measured a family of chemicals in the
brain known as inositols, and myo-inositol (MI) acted as a marker
in the study.  In comparison to healthy patients, those diagnosed
with Alzheimer's showed a 22 percent increase in MI, while their
level of another chemical called N-acetylaspartate (NAA) was
significantly lower, indicating a loss of brain-stimulating neurons
believed to be associated with the progression of the disease.
   Current drug therapy for Alzheimer's disease is widely
considered to be inadequate.  This is attributable, Dr. Ross
believes, to the theory that Alzheimer's is caused by an
interruption in the transmission of the chemical acetylcholine to
the nerve cells. This belief has been adhered to over the last 15
years, and consequently, most drugs to treat Alzheimer's were based
on the changing receptors for acetylcholine.
   ""Physicians have a real need for a test to differentiate
Alzheimer's from other dementias, to provide the patient and his or
her family with a firm diagnosis and to monitor future treatment
protocols for the treatment of this disease.  For this reason, we
consider this test a major advancement in medicine,"" said Bruce
Miller, M.D., a noted neurologist at Harbor-UCLA, MRS researcher
and a co-author of the study.
   Other members of the HMRI research team included Rex A. Moats,
Ph.D., Truda Shonk, B.S., Thomas Ernst, Ph.D., and Suzanne Woolley,
R.N.  The PROBE software can be fitted on the approximately 1,200
General Electric MRI units currently in use in the United States,
and will be configured for other manufacturers' MRI units soon.
   For interviews with Dr. Ross, advance copies of the Radiology
May issue, and other information, please contact John Lockhart or
Belinda Gerber for HMRI at 310-444-7000 or 800-522-8877.

   Q & A on Alzheimer's Disease:

   What is Alzheimer's disease and how is it caused?
   Alzheimer's disease (AD) is an incurable degenerative disease of
the brain first described in 1906 by the German neuropathologist
Alois Alzheimer.  As the disease progresses, it leads to loss of
memory and mental functioning, followed by changes in personality,
loss of control of bodily functions, and, eventually, death.
   How many people does it affect?
   Alzheimer's disease affects an estimated 4 million adults in
the United States and is the fourth leading cause of death, taking
approximately 100,000 lives each year.  While Alzheimer's
debilitates its victims, it is equally devastating, both
emotionally and financially, for patients' families.  AD is the
most common cause of dementia in adults.  Symptoms worsen every
year, and death usually occurs within 10 years of initial onset.
   What are its signs and symptoms?
   Although the cause of AD is not known, two risk factors have
been identified: advanced age and genetic predisposition.  The risk
of developing AD is less than one percent before the age of 50
yars old, but increases steeply in each successive decade of life
to reach 30 percent by the age of 90.  In patients with familial
AD, immediate family relatives have a 50 percent chance of
developing AD.  One of its first symptoms is severe ""forgetfulness""
caused by short-term memory loss.  Dr. Herman Weinreb of the School
of Medicine at New York University says ""whether forgetfulness is
a serious symptom or not is largely a matter of degree"" and
suggests the following criteria:

   -- Forgetting the name of someone you see infrequently is
      normal.
   -- Forgetting the name of a loved one is serious.
   -- Forgetting where you left your keys is normal.
   -- Forgetting how to get home is serious.

   Doctors suggest that people with severe symptoms should be
evaluated in order to rule out Alzheimer's disease and other forms
of dementia.
 -30-
--
Canada Remote Systems - Toronto, Ontario
416-629-7000/629-7044
"
1,rec.autos,"From: rhorwell@crab.network-a (Roland Faragher-Horwell)
Subject: Re: WHAT car is this!?
Reply-To: rhorwell@atc.boeing.com
Organization: Boeing Computer Services
Lines: 24

In article 2550@ericsson.se, etxmst@sta.ericsson.se (Markus Strobl 98121) writes:
>In article 1r3n32INNk9p@ctron-news.ctron.com, smith@ctron.com (Lawrence C Smith) writes:
>>In article <1993Apr21.032905.29286@reed.edu>, rseymour@reed.edu (Robert Seymour) writes:
>>>In article <1993Apr20.174246.14375@wam.umd.edu> lerxst@wam.umd.edu (where's my  thing) writes:
>>>> It was called a Bricklin.
>>
>>>Bricklins were manufactured in the 70s with engines from Ford.
>>
>>Waitaminnit, didn't the Bricklin have an Pugeot six-cylinder?  Or am I
>>confusing it with the DeLorean?  I was sure the DeLorean had a v8.
>>
>
>The DeLorean had the yucky PRV V6 engine. A joint-venture between 
>Peugout (note spelling), Renault and Volvo. PRV. This engine is a *MIGHTY BORING* 
^^^^^^^^^^^^^^^^^^^^^^^^^
> 
>Markus
 
Markus, what is that we are noting about the spelling?  That you aren't good at it? :^)
That Peugeot is OUT of N. America?  What does this mean?

Roland, An intrigued Peugeot admirer 


"
1,rec.autos,"From: ejv2j@Virginia.EDU (""Erik Velapoldi"")
Subject: Re: Dirty Diesels?
Organization: University of Virginia
Distribution: na
Lines: 30

nataraja@rtsg.mot.com  writes:
> I heard the diesels are considered cleaner-burning than
> gas engines because the emit less of: Carbon Monoxide,
> Hydrocarbons, and Oxides of Nitrogen.  (CO, HC, NOX).
> 
> But they can put out a lot of particulate matter.  I heard
> something about legislation being discussed to ""clean up
> diesel emissions"".  Is there anything in the works to
> install ""scrubbers"" for diesels?  How about the feasibility
> of installing them on trucks and cars?  Would it be any
> different than a catylitic converter?  I'd assume easier,
> since we're removing particulate matter instead of converting
> gasses.  Let's hear people's opinions...
> 

VW and Mercedes have tinkered with particulate traps.  Also, VW
uses a kind of turbocharger on their Jetta ECOdiesel that helps
reduce particulates as well, although I don't know the
mechanics of it.

Many diesel cars,busses, and trucks in Europe are now being
equipped with catalysts and traps in an effort to clean up
diesel emissions, already well below legal limits anyway.

It's a shame GM had to soil the diesel's reputation in
passenger cars and prevent further resource devotion to
research into making this outstandingly efficient engine even
further ahead of gas engines in emissions.

erik
"
0,comp.graphics,"From: mike@nx03.mik.uky.edu (Mike Mattone)
Subject: LCD VGA display
Nntp-Posting-Host: nx03.mik.uky.edu
Organization: University Of Kentucky, Dept. of Math Sciences
Lines: 43

Please help.

I have an IBM-compatible notebook computer with an LCD VGA screen.  While I
was working with it this morning, the screen started to flicker a little,
which I thought was odd since I do use a surge-protector for my computer and
all peripherals.  It only did this for a second and then stopped.

I left the room for several minutes and, when I returned, the screen was
completely dim, not blank, but very very dim.  The contrast slider still
worked so that I could adjust it to where I could *faintly* make out what
was on the screen but the brightness slider had absolutely *no* effect.

I was plugged-in at the time (i.e., not using the battery) but I still
tried switching the battery, changing the power-saver features, etc., etc.,
all to no avail.

Has anyone else experienced anything like this?  If this just means that I
need to replace the screen then I guess I'll have to but I thought that the
""death"" of my LCD screen would be a little less dramatic when it eventually
happened.  I didn't want to take it in to be repaired before I asked on the
net about this because I already know what they'll say: ""Yep, you gotta have
this replaced and it's gonna cost you $???.""

I've only had the computer for about 21 months.  Is that a reasonable life
cycle for a LCD display?  Oh, I guess I ought to give specifics here: the
brand is Compudyne (Is this a reputable company?), it's a 386SX @ 20 MHz.
I forget the model number exactly and I was too ticked off to write it down
before coming in to work today.

If anyone can help me, PLEASE give me any advice you might have.  I'm not
opposed to having it replaced, but I'd rather not if it's not absolutely
necessary.  If you wouldn't mind, please e-mail me at mike@mik.uky.edu
but if you'd rather post I'll be checking back here in a couple of days.

BTW, if the answer to this question is already in a FAQ somewhere, feel
free to flame away but I would ask that you also include the location and
name of the FAQ if you don't mind.

Thanks in advance for any help...

-Mike Mattone
(mike@mik.uky.edu) 

"
3,soc.religion.christian,"From: mls@panix.com (Michael Siemon)
Subject: eros in LXX: concluding lexicographic note
Organization: PANIX Public Access Unix, NYC
Lines: 58

This might be better directed to s.r.c.bible-study, which I have begun
reading, but since my earlier notes were posted to this forum, I will
conclude here as well.  A week ago, I managed to find time to consult
a Septuagint Concordance and a LXX text with apparatus at the library,
and I can now usefully conclude my look at the Greek words for love as
used in the Christian background of the Septuagintal translation of the
Jewish scriptures.

The principal result is that there is a cluster of uses of the verbal
noun from _erao:_, _eraste:s_ meaning ""lover.""  This cluster occurs just
where one might most expect it, in the propethic image (and accusation)
of Israel as faithless spouse to YHWH.  The verses in question are Hosea
2:5,7 & 10; Jeremiah 4:30, 22:20 & 22; Lamentations 1:19; and Ezekiel
16:33, 36 &37 and 23:5, 9 & 22.

	[ Hosea seems to have originated this usage, which Jeremiah and
	  Ezekiel picked up;  Lamentations is dependent on, though not
	  likely written by, Jeremiah. ]

The ""erotic"" meaning (in its allegorical use, not at all literally) is
evident.  So too in English, unless you complement it with a phrase like
""of the arts"" the word ""lover"" is going to have an overtone of sexual
relationship.  There is no surprise here, but it is worthwhile to see
that standard Greek usage *does* show up in the translations from the
Hebrew! :-)

More interestingly, and some confirmation of my guess that later Koine
usage avoided the verb _erao:_ because of its homonymy to _ero:_ (say),
_eromai_ (ask), there is an error in Codex Vaticanus (normally, a very
valuable witness) where a form of _erao:_ is used in a completely absurd
context -- 2 Samuel 20:18, where the  meaning *must* be ""say.""

In addition to the above (and the uses I have already mentioned in Proverbs),
Esther 2:17 uses the verb in its most natural application, 

	kai e:rasthe"" ho basileus Esthe:r  --  and the King loved Esther

and, rather more interestingly, 1 Samuel 19:2 supplies a modest degree of
support to the gay appraisal of the relationship of David and Jonathan:

	kai Io:nathan huios Saoul e:[i]reito ton Dauid sphodra
	-- and Jonathan, Saul's son, loved David intensely

	[ I'm using the bracketed [i] for io:ta subscript, which I
	  don't yet have a reasonable ASCII convention for. ]

(The relevance of this to the gay issue is not anything implicit about
the ""historical"" facts, but just that a quasi-official translation of
the Hebrew text in the Hellenistic period makes no bones about using the
""erotic"" verb in this context.  Given the quite general usage of _agapao:_
for erotic senses, this need not mean anything ""more"" than _agapao:_ alone
would mean, but it DOES disambiguate the relationship, as far as this
translator goes!)
-- 
Michael L. Siemon		I say ""You are gods, sons of the
mls@panix.com			Most High, all of you; nevertheless
    - or -			you shall die like men, and fall
mls@ulysses.att..com		like any prince.""   Psalm 82:6-7
"
